Time,Species,Temperature,Height,Condition
14:12,Fence,50.0,0.0,Shade
14:16,Side-Blotched,52.4,3.0,Sun
14:17,Fence,36.2,0.0,Shade
14:18,Fence,46.8,0.0,Shade
14:30,Fence,30.0,0.0,Shade
13:35,Fence,30.8,5.0,Shade
14:30,Fence,40.8,100.0,Shade
14:50,Side-Blotched,23.5,3.0,Shade
15:03,Fence,20.3,5.0,Shade
15:15,Side-Blotched,39.8,10.0,Shade
15:18,Fence,30.4,30.0,Shade
15:30,Side-Blotched,39.8,15.0,Sun
13:48,Side-Blotched,51.6,0.0,Shade
13:51,Side-Blotched,51.2,0.0,Sun
13:43,Side-Blotched,39.8,5.0,Shade
14:35,Fence,42.0,0.0,Shade
13:45,Side-Blotched,40.5,0.0,Shade
13:50,Side-Blotched,44.4,0.0,Shade
13:52,Side-Blotched,34.4,0.0,Shade
13:55,Side-Blotched,49.8,0.0,Shade
14:00,Side-Blotched,42.8,0.0,Shade
14:05,Fence,38.4,42.5,Shade
14:05,Fence,36.4,60.0,Shade
14:30,Fence,34.0,140.0,Shade
14:35,Fence,33.8,150.0,Shade
14:38,Fence,36.4,150.0,Shade
14:38,Fence,33.6,55.0,Shade
14:40,Fence,36.4,207.0,Shade
14:44,Side-Blotched,46.6,0.0,Shade
14:50,Fence,33.2,80.0,Shade
15:08,Side-Blotched,39.0,0.0,Shade
13:32,Side-Blotched,33.4,34.0,Sun
13:45,Fence,40.8,0.0,Sun
13:45,Fence,44.8,0.0,Sun
13:50,Fence,43.4,0.0,Sun
13:52,Fence,17.6,17.0,Shade
14:07,Side-Blotched,47.6,16.0,Sun
14:24,Side-Blotched,43.4,7.0,Shade
14:32,Fence,38.8,7.0,Sun
15:06,Fence,32.2,5.0,Shade
13:53,Fence,47.8,0.0,Sun
14:12,Fence,37.6,6.0,Shade
14:22,Fence,47.8,0.0,Sun
14:40,Side-Blotched,34.0,29.0,Shade
14:43,Fence,23.6,0.0,Shade
14:46,Fence,38.6,21.0,Shade
14:49,Fence,38.6,8.0,Shade
14:50,Fence,38.6,8.0,Shade
15:01,Fence,32.6,50.0,Shade
13:32,Fence,33.8,167.0,Shade
13:52,Fence,38.0,14.0,Shade
14:13,Fence,33.0,17.0,Shade
14:30,Fence,32.0,13.0,Shade
14:48,Fence,43.0,0.0,Shade
13:20,Fence,38.0,30.0,Shade
